"image","xmin","ymin","xmax","ymax","label"
"2836_RGB_10.png",81.38528138528139,170.3896103896104,359.8268398268398,463.37662337662334,"pear-bartlett"
"2836_RGB_30.png",209.52380952380952,300.60606060606057,296.1038961038961,382.3376623376623,"pear-bartlett"
"2836_RGB_50.png",270.4761904761905,319.3073593073593,318.961038961039,378.1818181818182,"pear-bartlett"
"2881_RGB_10.png",161.03896103896102,232.034632034632,352.90043290043286,482.7705627705627,"pear-bartlett"
"2881_RGB_30.png",254.54545454545453,369.87012987012986,340.4329004329004,468.9177489177489,"pear-bartlett"
"2881_RGB_40.png",273.93939393939394,382.3376623376623,332.8138528138528,455.06493506493507,"pear-bartlett"
"2881_RGB_50.png",251.08225108225108,426.66666666666663,303.72294372294374,481.38528138528136,"pear-bartlett"
"2926_RGB_10.png",115.32467532467533,266.66666666666663,332.8138528138528,559.6536796536795,"pear-bartlett"
"2926_RGB_30.png",206.06060606060606,378.1818181818182,282.94372294372295,489.004329004329,"pear-bartlett"
"2926_RGB_40.png",193.5930735930736,404.5021645021645,255.93073593073592,482.07792207792204,"pear-bartlett"
"2926_RGB_50.png",245.54112554112552,401.038961038961,296.1038961038961,469.6103896103896,"pear-bartlett"
"1688_RGB_H.png",239.65367965367963,367.0995670995671,459.22077922077915,480.6926406926407,"banana"
"1690_RGB_H.png",268.05194805194805,368.48484848484844,414.19913419913416,485.5411255411255,"banana"
"1690_RGB_H.png",415.5844155844156,208.48484848484847,468.9177489177489,376.1038961038961,"banana"
"1692_RGB_H.png",183.54978354978354,326.92640692640697,328.3116883116883,434.978354978355,"banana"
"1692_RGB_H.png",371.2554112554112,196.7099567099567,430.82251082251076,297.83549783549785,"banana"
"1694_RGB_H.png",182.16450216450215,332.46753246753246,358.78787878787875,437.05627705627705,"banana"
"1696_RGB_H.png",214.7186147186147,199.48051948051946,393.4199134199134,286.75324675324674,"banana"
"1698_RGB_H.png",259.04761904761904,241.03896103896102,452.29437229437224,351.16883116883116,"banana"
